DL comb,DL MIMO,DL BW,DL Unk A,DL Unk B,DL Unk C,UL comb,UL MIMO,UL BW,UL Unk A,UL Unk B,UL Unk C
n2,2,30,1,2,0,n2,1,20,1,2,0
n2,2,40,1,2,0,n2,1,20,1,2,0
n5,2,10,1,2,0,n5,1,10,1,2,0
n5,2,30,1,2,0,n5,1,20,1,2,0
n66,2,30,1,2,0,n66,1,20,1,2,0
n66,2,40,1,2,0,n66,1,20,1,2,0
n66,4,25,2,2,0,n66,1,40,1,2,0
n71,2,30,1,2,0,n71,1,20,1,2,0
n77,4,100,2,2,1,n77,1,100,2,2,1
n77,4,100,2,2,1,n77,2,100,2,2,1
2_n5,2,10,1,2,0,2_n5,1,10,1,2,0
2_n5,2,10,1,2,0,2_n5,1,10,1,2,0
2_n5,2,30,1,2,0,2_n5,1,20,1,2,0
2_n77,4,100,2,2,1,2_n77,1,100,2,2,1
2_n77,4,100,2,2,1,2_n77,1,100,2,2,1
2_n261,2,100,4,1,0,2_n261,1,100,None,None,None
5_n261,2,100,4,1,0,5_n261,1,100,None,None,None
12_n2,2,30,1,2,0,12_n2,1,20,1,2,0
12_n2,2,40,1,2,0,12_n2,1,20,1,2,0
12_n66,2,30,1,2,0,12_n66,1,20,1,2,0
12_n66,2,40,1,2,0,12_n66,1,20,1,2,0
12_n66,4,25,2,2,0,12_n66,1,40,1,2,0
66_n5,2,10,1,2,0,66_n5,1,10,1,2,0
66_n5,2,10,1,2,0,66_n5,1,10,1,2,0
66_n5,2,30,1,2,0,66_n5,1,20,1,2,0
66_n77,4,100,2,2,1,66_n77,1,100,2,2,1
66_n77,4,100,2,2,1,66_n77,1,100,2,2,1
66_n2,2,40,1,2,0,66_n2,1,20,1,2,0
66_n71,2,30,1,2,0,66_n71,1,20,1,2,0
66_n261,2,100,4,1,0,66_n261,1,100,None,None,None
2-66_n5,2,10,1,2,0,66_n5,1,10,1,2,0
2-66_n5,2,10,1,2,0,66_n5,1,10,1,2,0
2-66_n5,2,30,1,2,0,66_n5,1,20,1,2,0
2-66_n5,2,10,1,2,0,2_n5,1,10,1,2,0
2-66_n5,2,10,1,2,0,2_n5,1,10,1,2,0
2-66_n5,2,30,1,2,0,2_n5,1,20,1,2,0
2-66_n261,2,100,4,1,0,66_n261,1,100,None,None,None
2-66_n261,2,100,4,1,0,2_n261,1,100,None,None,None
5-66_n261,2,100,4,1,0,66_n261,1,100,None,None,None
5-66_n261,2,100,4,1,0,5_n261,1,100,None,None,None
66_n261G,2;2,100;100,4;4,1;1,0;0,66_n261,1,100,None,None,None
66_n261H,2;2;2,100;100;100,4;4;4,1;1;1,0;0;0,66_n261,1,100,None,None,None
