DL comb,DL MIMO,DL BW,DL Unk A,DL Unk B,DL Unk C,UL comb,UL MIMO,UL BW,UL Unk A,UL Unk B,UL Unk C
n2,2,30,1,2,0,n2,1,20,1,2,0
n2,2,40,1,2,0,n2,1,20,1,2,0
n5,2,10,1,2,0,n5,1,10,1,2,0
n5,2,30,1,2,0,n5,1,20,1,2,0
n12,2,10,1,2,0,n12,1,10,1,2,0
n12,2,30,1,2,0,n12,1,20,1,2,0
n25,2,30,1,2,0,n25,1,20,1,2,0
n25,2,40,1,2,0,n25,1,20,1,2,0
n25,4,25,2,2,0,n25,1,40,1,2,0
n41,4,100,2,2,1,n41,1,100,2,2,1
n41,4,100,2,2,1,n41,2,100,2,2,1
n48,4,100,2,2,1,n48,1,100,2,2,1
n48,4,100,2,2,1,n48,2,100,2,2,1
n66,2,30,1,2,0,n66,1,20,1,2,0
n66,2,40,1,2,0,n66,1,20,1,2,0
n66,4,25,2,2,0,n66,1,40,1,2,0
n71,2,20,1,2,0,n71,1,15,1,2,0
n71,2,30,1,2,0,n71,1,20,1,2,0
n77,4,100,2,2,1,n77,1,100,2,2,1
n77,4,100,2,2,1,n77,2,100,2,2,1
n2_n77,2;4,30;100,1;2,2;2,0;1,n77,1,100,2,2,1
n2_n77,2;4,40;100,1;2,2;2,0;1,n77,1,100,2,2,1
n2_n77,2;4,40;100,1;2,2;2,0;1,n77,2,100,2,2,1
n2_n77,2;4,30;100,1;2,2;2,0;1,n2,1,20,1,2,0
n2_n77,2;4,40;100,1;2,2;2,0;1,n2,1,20,1,2,0
n5_n77,2;4,10;100,1;2,2;2,0;1,n77,1,100,2,2,1
n5_n77,2;4,10;100,1;2,2;2,0;1,n77,2,100,2,2,1
n5_n77,2;4,30;100,1;2,2;2,0;1,n77,2,100,2,2,1
n5_n77,2;4,10;100,1;2,2;2,0;1,n5,1,10,1,2,0
n5_n77,2;4,30;100,1;2,2;2,0;1,n5,1,20,1,2,0
n48_n66,4;2,100;40,2;1,2;2,1;0,n66,1,20,1,2,0
n48_n66,4;4,100;25,2;2,2;2,1;0,n66,1,40,1,2,0
n48_n71,4;2,100;30,2;1,2;2,1;0,n71,1,20,1,2,0
n48_n66,4;2,100;40,2;1,2;2,1;0,n48,1,100,2,2,1
n48_n66,4;4,100;25,2;2,2;2,1;0,n48,2,100,2,2,1
n48_n71,4;2,100;30,2;1,2;2,1;0,n48,2,100,2,2,1
n66_n77,2;4,30;100,1;2,2;2,0;1,n77,1,100,2,2,1
n66_n77,2;4,40;100,1;2,2;2,0;1,n77,1,100,2,2,1
n66_n77,4;4,25;100,2;2,2;2,0;1,n77,2,100,2,2,1
n66_n77,2;4,30;100,1;2,2;2,0;1,n66,1,20,1,2,0
n66_n77,2;4,40;100,1;2,2;2,0;1,n66,1,20,1,2,0
n66_n77,4;4,25;100,2;2,2;2,0;1,n66,1,40,1,2,0
n66_n71,2;2,40;20,1;1,2;2,0;0,n71,1,15,1,2,0
n66_n71,4;2,25;30,2;1,2;2,0;0,n71,1,20,1,2,0
n66_n71,2;2,40;20,1;1,2;2,0;0,n66,1,20,1,2,0
n66_n71,4;2,25;30,2;1,2;2,0;0,n66,1,40,1,2,0
n71_n77,2;4,20;100,1;2,2;2,0;1,n77,1,100,2,2,1
n71_n77,2;4,20;100,1;2,2;2,0;1,n77,2,100,2,2,1
n71_n77,2;4,30;100,1;2,2;2,0;1,n77,2,100,2,2,1
n71_n77,2;4,20;100,1;2,2;2,0;1,n71,1,15,1,2,0
n71_n77,2;4,30;100,1;2,2;2,0;1,n71,1,20,1,2,0
n77_n77,2;2,80;80,2;2,2;2,0;0,n77,1,50,2,2,0
n77_n77,2;2,80;80,2;2,2;2,0;0,n77,2,50,2,2,0
n77_n77,4;4,100;100,2;2,2;2,1;1,n77,2,100,2,2,1
2_n5,2,10,1,2,0,2_n5,1,10,1,2,0
2_n5,2,10,1,2,0,2_n5,1,10,1,2,0
